Ryan the Engineering Cat,29.648249389867726,-82.34869149989778,Ryan the Engineering Cat,0
Tenders,29.646864628701444,-82.34172057181694,Tenders,0
Alligator,29.647500471680612,-82.34446659175289,Alligator,0
Apollo,29.64647345314007,-82.349351829585,Apollo,0
Armadillo,29.646081051416374,-82.33992135767285,Armadillo,0
Campus Cat #4,29.647960020209208,-82.34697359778788,Campus Cat #4,0
Raccoon,29.64437928898502,-82.35213861659105,Raccoon,0
Dog,29.646907658193854,-82.3480026950971,Dog,dogReitz2022.jpg
Other,29.643728666990608,-82.35343214229631,Other,0
Alligator,29.646813396872624,-82.3415487053053,Alligator,Alligator_30_01_2022_04_08_34
